screen_name,following,followed_by,usuario_objetivo
PRadicalcl,True,True,Liberales_Chile
PRadicalcl,False,False,PRChile
PRadicalcl,False,False,ChilePDGcl
PRadicalcl,True,True,la_convergencia
PRadicalcl,True,False,ComunesCL
PRadicalcl,True,True,PDC_Chile
PRadicalcl,False,False,FedRegionalista
PRadicalcl,True,False,RDemocratica
PRadicalcl,True,False,evopoli
PRadicalcl,False,False,PRadicalcl
PRadicalcl,True,True,PCdeChile
PRadicalcl,True,True,PSChile
PRadicalcl,True,True,PPD_Chile
PRadicalcl,True,False,udipopular
PRadicalcl,True,False,RNchile
